2018-03-30 23:50:02.1522434002 , 62 , 64:5a:4:9d:49:52 , f8:da:c:20:91:3f , IPv4 , 10.50.21.15 , 10.50.23.255 , UDP , 2008 , 2008 
2018-03-30 23:50:02.1522434002 , 62 , 64:5a:4:9d:49:52 , f8:da:c:20:91:3f , IPv4 , 10.50.21.15 , 10.50.23.255 , UDP , 2007 , 2007 
2018-03-30 23:50:02.1522434002 , 157 , 98:40:bb:6:49:37 , f8:da:c:20:91:3f , IPv6 , 0.0.0.0 , 217.195.168.149 , Unknown/Not Supported , 17078 , 13411 
2018-03-30 23:50:02.1522434002 , 62 , 64:5a:4:9d:49:52 , f8:da:c:20:91:3f , IPv4 , 10.50.21.15 , 10.50.23.255 , UDP , 2008 , 2008 
2018-03-30 23:50:02.1522434002 , 62 , 64:5a:4:9d:49:52 , f8:da:c:20:91:3f , IPv4 , 10.50.21.15 , 10.50.23.255 , UDP , 2007 , 2007 
2018-03-30 23:50:02.1522434002 , 305 , ac:d1:b8:ed:88:6b , f8:da:c:20:91:3f , IPv4 , 10.50.23.72 , 10.50.23.255 , UDP , 54915 , 54915 
2018-03-30 23:50:02.1522434002 , 62 , 64:5a:4:9d:49:52 , f8:da:c:20:91:3f , IPv4 , 10.50.21.15 , 10.50.23.255 , UDP , 2008 , 2008 
2018-03-30 23:50:02.1522434002 , 62 , 64:5a:4:9d:49:52 , f8:da:c:20:91:3f , IPv4 , 10.50.21.15 , 10.50.23.255 , UDP , 2007 , 2007 
2018-03-30 23:50:02.1522434002 , 62 , 64:5a:4:9d:49:52 , f8:da:c:20:91:3f , IPv4 , 10.50.21.15 , 10.50.23.255 , UDP , 2008 , 2008 
2018-03-30 23:50:02.1522434002 , 62 , 64:5a:4:9d:49:52 , f8:da:c:20:91:3f , IPv4 , 10.50.21.15 , 10.50.23.255 , UDP , 2007 , 2007 
2018-03-30 23:50:02.1522434002 , 62 , 64:5a:4:9d:49:52 , f8:da:c:20:91:3f , IPv4 , 10.50.21.15 , 10.50.23.255 , UDP , 2008 , 2008 
2018-03-30 23:50:02.1522434002 , 62 , 64:5a:4:9d:49:52 , f8:da:c:20:91:3f , IPv4 , 10.50.21.15 , 10.50.23.255 , UDP , 2007 , 2007 
2018-03-30 23:50:02.1522434002 , 62 , 64:5a:4:9d:49:52 , f8:da:c:20:91:3f , IPv4 , 10.50.21.15 , 10.50.23.255 , UDP , 2008 , 2008 
2018-03-30 23:50:02.1522434002 , 62 , 64:5a:4:9d:49:52 , f8:da:c:20:91:3f , IPv4 , 10.50.21.15 , 10.50.23.255 , UDP , 2007 , 2007 
2018-03-30 23:50:17.1522434017 , 62 , 64:5a:4:9d:49:52 , f8:da:c:20:91:3f , IPv4 , 10.50.21.15 , 10.50.23.255 , UDP , 2008 , 2008 
2018-03-30 23:50:17.1522434017 , 62 , 64:5a:4:9d:49:52 , f8:da:c:20:91:3f , IPv4 , 10.50.21.15 , 10.50.23.255 , UDP , 2007 , 2007 
2018-03-30 23:50:17.1522434017 , 62 , 64:5a:4:9d:49:52 , f8:da:c:20:91:3f , IPv4 , 10.50.21.15 , 10.50.23.255 , UDP , 2008 , 2008 
2018-03-30 23:50:17.1522434017 , 62 , 64:5a:4:9d:49:52 , f8:da:c:20:91:3f , IPv4 , 10.50.21.15 , 10.50.23.255 , UDP , 2007 , 2007 
2018-03-30 23:50:17.1522434017 , 305 , c8:5b:76:e7:ad:66 , f8:da:c:20:91:3f , IPv4 , 10.50.21.116 , 10.50.23.255 , UDP , 54915 , 54915 
2018-03-30 23:50:17.1522434017 , 62 , 64:5a:4:9d:49:52 , f8:da:c:20:91:3f , IPv4 , 10.50.21.15 , 10.50.23.255 , UDP , 2008 , 2008 
2018-03-30 23:50:17.1522434017 , 62 , 64:5a:4:9d:49:52 , f8:da:c:20:91:3f , IPv4 , 10.50.21.15 , 10.50.23.255 , UDP , 2007 , 2007 
2018-03-30 23:50:17.1522434017 , 60 , 10:da:43:1:73:27 , f8:da:c:20:91:3f , Unkwown/Not Supported , 67.1.115.38 , 0.0.0.0 , Unknown/Not Supported , 32768 , 4314 
2018-03-30 23:50:18.1522434018 , 103 , e0:98:61:76:f:b0 , f8:da:c:20:91:3f , IPv4 , 10.50.21.99 , 224.0.0.251 , UDP , 5353 , 5353 
2018-03-30 23:50:18.1522434018 , 76 , c8:5b:76:e7:ad:66 , f8:da:c:20:91:3f , IPv4 , 10.50.21.116 , 255.255.255.255 , UDP , 57684 , 7533 
2018-03-30 23:50:18.1522434018 , 62 , 64:5a:4:9d:49:52 , f8:da:c:20:91:3f , IPv4 , 10.50.21.15 , 10.50.23.255 , UDP , 2008 , 2008 
2018-03-30 23:50:18.1522434018 , 62 , 64:5a:4:9d:49:52 , f8:da:c:20:91:3f , IPv4 , 10.50.21.15 , 10.50.23.255 , UDP , 2007 , 2007 
2018-03-30 23:50:18.1522434018 , 42 , b0:e2:35:55:e8:b5 , f8:da:c:20:91:3f , ARP , 232.181.10.50 , 21.39.0.0 , Unknown/Not Supported , 0 , 0 
2018-03-30 23:50:18.1522434018 , 62 , 64:5a:4:9d:49:52 , f8:da:c:20:91:3f , IPv4 , 10.50.21.15 , 10.50.23.255 , UDP , 2008 , 2008 
2018-03-30 23:50:18.1522434018 , 62 , 64:5a:4:9d:49:52 , f8:da:c:20:91:3f , IPv4 , 10.50.21.15 , 10.50.23.255 , UDP , 2007 , 2007 
2018-03-30 23:50:18.1522434018 , 92 , 98:40:bb:6:49:37 , f8:da:c:20:91:3f , IPv4 , 10.50.23.135 , 10.50.23.255 , UDP , 137 , 137 
2018-03-30 23:50:18.1522434018 , 84 , 98:40:bb:6:49:37 , f8:da:c:20:91:3f , IPv6 , 0.0.0.0 , 217.195.168.149 , Unknown/Not Supported , 17078 , 13411 
2018-03-30 23:50:18.1522434018 , 62 , 64:5a:4:9d:49:52 , f8:da:c:20:91:3f , IPv4 , 10.50.21.15 , 10.50.23.255 , UDP , 2008 , 2008 
2018-03-30 23:50:18.1522434018 , 62 , 64:5a:4:9d:49:52 , f8:da:c:20:91:3f , IPv4 , 10.50.21.15 , 10.50.23.255 , UDP , 2007 , 2007 
2018-03-30 23:50:18.1522434018 , 92 , 98:40:bb:6:49:37 , f8:da:c:20:91:3f , IPv4 , 10.50.23.135 , 10.50.23.255 , UDP , 137 , 137 
2018-03-30 23:50:18.1522434018 , 92 , 98:40:bb:6:49:37 , f8:da:c:20:91:3f , IPv4 , 10.50.23.135 , 10.50.23.255 , UDP , 137 , 137 
2018-03-30 23:50:18.1522434018 , 94 , 98:40:bb:6:49:37 , f8:da:c:20:91:3f , IPv6 , 0.0.0.0 , 217.195.168.149 , Unknown/Not Supported , 17078 , 13411 
2018-03-30 23:50:18.1522434018 , 87 , 98:40:bb:6:49:37 , f8:da:c:20:91:3f , IPv6 , 0.0.0.0 , 217.195.168.149 , Unknown/Not Supported , 17078 , 13411 
2018-03-30 23:50:18.1522434018 , 94 , 98:40:bb:6:49:37 , f8:da:c:20:91:3f , IPv6 , 0.0.0.0 , 217.195.168.149 , Unknown/Not Supported , 17078 , 13411 
2018-03-30 23:50:18.1522434018 , 87 , 98:40:bb:6:49:37 , f8:da:c:20:91:3f , IPv6 , 0.0.0.0 , 217.195.168.149 , Unknown/Not Supported , 17078 , 13411 
2018-03-30 23:50:18.1522434018 , 92 , 98:40:bb:6:49:37 , f8:da:c:20:91:3f , IPv4 , 10.50.23.135 , 10.50.23.255 , UDP , 137 , 137 
2018-03-30 23:50:18.1522434018 , 89 , 98:40:bb:6:49:37 , f8:da:c:20:91:3f , IPv6 , 0.0.0.0 , 217.195.168.149 , Unknown/Not Supported , 17078 , 13411 
2018-03-30 23:50:18.1522434018 , 89 , 98:40:bb:6:49:37 , f8:da:c:20:91:3f , IPv6 , 0.0.0.0 , 217.195.168.149 , Unknown/Not Supported , 17078 , 13411 
2018-03-30 23:50:18.1522434018 , 60 , ec:24:b8:29:29:25 , f8:da:c:20:91:3f , ARP , 41.37.10.50 , 23.52.0.0 , Unknown/Not Supported , 0 , 0 
2018-03-30 23:50:18.1522434018 , 305 , ac:d1:b8:ed:88:6b , f8:da:c:20:91:3f , IPv4 , 10.50.23.72 , 10.50.23.255 , UDP , 54915 , 54915 
2018-03-30 23:50:18.1522434018 , 62 , 64:5a:4:9d:49:52 , f8:da:c:20:91:3f , IPv4 , 10.50.21.15 , 10.50.23.255 , UDP , 2008 , 2008 
2018-03-30 23:50:18.1522434018 , 62 , 64:5a:4:9d:49:52 , f8:da:c:20:91:3f , IPv4 , 10.50.21.15 , 10.50.23.255 , UDP , 2007 , 2007 
2018-03-30 23:50:18.1522434018 , 167 , 14:32:d1:2f:31:55 , f8:da:c:20:91:3f , IPv4 , 10.50.21.101 , 239.255.255.250 , UDP , 47534 , 1900 
2018-03-30 23:50:18.1522434018 , 62 , 64:5a:4:9d:49:52 , f8:da:c:20:91:3f , IPv4 , 10.50.21.15 , 10.50.23.255 , UDP , 2008 , 2008 
2018-03-30 23:50:18.1522434018 , 62 , 64:5a:4:9d:49:52 , f8:da:c:20:91:3f , IPv4 , 10.50.21.15 , 10.50.23.255 , UDP , 2007 , 2007 
2018-03-30 23:50:18.1522434018 , 62 , 64:5a:4:9d:49:52 , f8:da:c:20:91:3f , IPv4 , 10.50.21.15 , 10.50.23.255 , UDP , 2008 , 2008 
2018-03-30 23:50:18.1522434018 , 62 , 64:5a:4:9d:49:52 , f8:da:c:20:91:3f , IPv4 , 10.50.21.15 , 10.50.23.255 , UDP , 2007 , 2007 
2018-03-30 23:50:18.1522434018 , 60 , e0:94:67:75:34:6a , f8:da:c:20:91:3f , ARP , 52.106.10.50 , 21.11.0.0 , Unknown/Not Supported , 0 , 0 
2018-03-30 23:50:18.1522434018 , 84 , 98:40:bb:6:49:37 , f8:da:c:20:91:3f , IPv6 , 0.0.0.0 , 217.195.168.149 , Unknown/Not Supported , 17078 , 13411 
2018-03-30 23:50:18.1522434018 , 62 , 64:5a:4:9d:49:52 , f8:da:c:20:91:3f , IPv4 , 10.50.21.15 , 10.50.23.255 , UDP , 2008 , 2008 
2018-03-30 23:50:18.1522434018 , 62 , 64:5a:4:9d:49:52 , f8:da:c:20:91:3f , IPv4 , 10.50.21.15 , 10.50.23.255 , UDP , 2007 , 2007 
2018-03-30 23:50:18.1522434018 , 167 , 14:32:d1:2f:31:55 , f8:da:c:20:91:3f , IPv4 , 10.50.21.101 , 239.255.255.250 , UDP , 47534 , 1900 
2018-03-30 23:50:18.1522434018 , 94 , 98:40:bb:6:49:37 , f8:da:c:20:91:3f , IPv6 , 0.0.0.0 , 217.195.168.149 , Unknown/Not Supported , 17078 , 13411 
2018-03-30 23:50:18.1522434018 , 87 , 98:40:bb:6:49:37 , f8:da:c:20:91:3f , IPv6 , 0.0.0.0 , 217.195.168.149 , Unknown/Not Supported , 17078 , 13411 
2018-03-30 23:50:18.1522434018 , 87 , 98:40:bb:6:49:37 , f8:da:c:20:91:3f , IPv6 , 0.0.0.0 , 217.195.168.149 , Unknown/Not Supported , 17078 , 13411 
2018-03-30 23:50:18.1522434018 , 94 , 98:40:bb:6:49:37 , f8:da:c:20:91:3f , IPv6 , 0.0.0.0 , 217.195.168.149 , Unknown/Not Supported , 17078 , 13411 
2018-03-30 23:50:18.1522434018 , 89 , 98:40:bb:6:49:37 , f8:da:c:20:91:3f , IPv6 , 0.0.0.0 , 217.195.168.149 , Unknown/Not Supported , 17078 , 13411 
2018-03-30 23:50:18.1522434018 , 89 , 98:40:bb:6:49:37 , f8:da:c:20:91:3f , IPv6 , 0.0.0.0 , 217.195.168.149 , Unknown/Not Supported , 17078 , 13411 
2018-03-30 23:50:18.1522434018 , 62 , 64:5a:4:9d:49:52 , f8:da:c:20:91:3f , IPv4 , 10.50.21.15 , 10.50.23.255 , UDP , 2008 , 2008 
2018-03-30 23:50:18.1522434018 , 62 , 64:5a:4:9d:49:52 , f8:da:c:20:91:3f , IPv4 , 10.50.21.15 , 10.50.23.255 , UDP , 2007 , 2007 
2018-03-30 23:50:18.1522434018 , 90 , ec:8e:b5:3c:91:9e , f8:da:c:20:91:3f , IPv6 , 0.0.0.0 , 68.74.157.222 , Unknown/Not Supported , 44945 , 3842 
2018-03-30 23:50:18.1522434018 , 60 , ec:8e:b5:3c:91:9e , f8:da:c:20:91:3f , IPv4 , 10.50.23.86 , 224.0.0.22 , IGMP , 37892 , 0 
2018-03-30 23:50:18.1522434018 , 90 , ec:8e:b5:3c:91:9e , f8:da:c:20:91:3f , IPv6 , 0.0.0.0 , 68.74.157.222 , Unknown/Not Supported , 44945 , 3842 
2018-03-30 23:50:18.1522434018 , 60 , ec:8e:b5:3c:91:9e , f8:da:c:20:91:3f , IPv4 , 10.50.23.86 , 224.0.0.22 , IGMP , 37892 , 0 
2018-03-30 23:50:18.1522434018 , 90 , ec:8e:b5:3c:91:9e , f8:da:c:20:91:3f , IPv6 , 0.0.0.0 , 68.74.157.222 , Unknown/Not Supported , 44945 , 3842 
2018-03-30 23:50:18.1522434018 , 60 , ec:8e:b5:3c:91:9e , f8:da:c:20:91:3f , IPv4 , 10.50.23.86 , 224.0.0.22 , IGMP , 37892 , 0 
2018-03-30 23:50:18.1522434018 , 90 , ec:8e:b5:3c:91:9e , f8:da:c:20:91:3f , IPv6 , 0.0.0.0 , 68.74.157.222 , Unknown/Not Supported , 44945 , 3842 
2018-03-30 23:50:18.1522434018 , 60 , ec:8e:b5:3c:91:9e , f8:da:c:20:91:3f , IPv4 , 10.50.23.86 , 224.0.0.22 , IGMP , 37892 , 0 
2018-03-30 23:50:18.1522434018 , 95 , ec:8e:b5:3c:91:9e , f8:da:c:20:91:3f , IPv6 , 0.0.0.0 , 68.74.157.222 , Unknown/Not Supported , 44945 , 3842 
2018-03-30 23:50:18.1522434018 , 75 , ec:8e:b5:3c:91:9e , f8:da:c:20:91:3f , IPv4 , 10.50.23.86 , 224.0.0.252 , UDP , 60718 , 5355 
2018-03-30 23:50:18.1522434018 , 305 , c8:5b:76:e7:ad:66 , f8:da:c:20:91:3f , IPv4 , 10.50.21.116 , 10.50.23.255 , UDP , 54915 , 54915 
2018-03-30 23:50:18.1522434018 , 62 , 64:5a:4:9d:49:52 , f8:da:c:20:91:3f , IPv4 , 10.50.21.15 , 10.50.23.255 , UDP , 2008 , 2008 
2018-03-30 23:50:18.1522434018 , 62 , 64:5a:4:9d:49:52 , f8:da:c:20:91:3f , IPv4 , 10.50.21.15 , 10.50.23.255 , UDP , 2007 , 2007 
2018-03-30 23:50:18.1522434018 , 60 , e0:94:67:75:34:6a , f8:da:c:20:91:3f , ARP , 52.106.10.50 , 21.11.0.0 , Unknown/Not Supported , 0 , 0 
2018-03-30 23:50:18.1522434018 , 114 , 50:eb:1a:90:61:32 , f8:da:c:20:91:3f , IPv4 , 74.125.200.189 , 10.50.20.217 , TCP , 443 , 36614 
2018-03-30 23:50:18.1522434018 , 54 , f8:da:c:20:91:3f , 50:eb:1a:90:61:32 , IPv4 , 10.50.20.217 , 74.125.200.189 , TCP , 36614 , 443 
2018-03-30 23:50:18.1522434018 , 179 , 70:1c:e7:25:85:be , f8:da:c:20:91:3f , IPv4 , 10.50.21.252 , 239.255.255.250 , UDP , 52035 , 1900 
2018-03-30 23:50:18.1522434018 , 92 , 98:40:bb:6:49:37 , f8:da:c:20:91:3f , IPv4 , 10.50.23.135 , 10.50.23.255 , UDP , 137 , 137 
2018-03-30 23:50:18.1522434018 , 60 , ec:8e:b5:3c:91:9e , f8:da:c:20:91:3f , IPv4 , 10.50.23.86 , 224.0.0.22 , IGMP , 37892 , 0 
2018-03-30 23:50:18.1522434018 , 90 , ec:8e:b5:3c:91:9e , f8:da:c:20:91:3f , IPv6 , 0.0.0.0 , 68.74.157.222 , Unknown/Not Supported , 44945 , 3842 
2018-03-30 23:50:18.1522434018 , 62 , 64:5a:4:9d:49:52 , f8:da:c:20:91:3f , IPv4 , 10.50.21.15 , 10.50.23.255 , UDP , 2008 , 2008 
2018-03-30 23:50:18.1522434018 , 62 , 64:5a:4:9d:49:52 , f8:da:c:20:91:3f , IPv4 , 10.50.21.15 , 10.50.23.255 , UDP , 2007 , 2007 
2018-03-30 23:50:19.1522434019 , 167 , 14:32:d1:2f:31:55 , f8:da:c:20:91:3f , IPv4 , 10.50.21.101 , 239.255.255.250 , UDP , 47534 , 1900 
2018-03-30 23:50:19.1522434019 , 103 , e0:98:61:76:f:b0 , f8:da:c:20:91:3f , IPv4 , 10.50.21.99 , 224.0.0.251 , UDP , 5353 , 5353 
2018-03-30 23:50:19.1522434019 , 92 , 98:40:bb:6:49:37 , f8:da:c:20:91:3f , IPv4 , 10.50.23.135 , 10.50.23.255 , UDP , 137 , 137 
2018-03-30 23:50:19.1522434019 , 92 , 98:40:bb:6:49:37 , f8:da:c:20:91:3f , IPv4 , 10.50.23.135 , 10.50.23.255 , UDP , 137 , 137 
2018-03-30 23:50:19.1522434019 , 92 , 98:40:bb:6:49:37 , f8:da:c:20:91:3f , IPv4 , 10.50.23.135 , 10.50.23.255 , UDP , 137 , 137 
2018-03-30 23:50:19.1522434019 , 76 , c8:5b:76:e7:ad:66 , f8:da:c:20:91:3f , IPv4 , 10.50.21.116 , 255.255.255.255 , UDP , 57684 , 7533 
2018-03-30 23:50:19.1522434019 , 62 , 64:5a:4:9d:49:52 , f8:da:c:20:91:3f , IPv4 , 10.50.21.15 , 10.50.23.255 , UDP , 2008 , 2008 
2018-03-30 23:50:19.1522434019 , 62 , 64:5a:4:9d:49:52 , f8:da:c:20:91:3f , IPv4 , 10.50.21.15 , 10.50.23.255 , UDP , 2007 , 2007 
2018-03-30 23:50:19.1522434019 , 62 , 64:5a:4:9d:49:52 , f8:da:c:20:91:3f , IPv4 , 10.50.21.15 , 10.50.23.255 , UDP , 2008 , 2008 
2018-03-30 23:50:19.1522434019 , 62 , 64:5a:4:9d:49:52 , f8:da:c:20:91:3f , IPv4 , 10.50.21.15 , 10.50.23.255 , UDP , 2007 , 2007 
2018-03-30 23:50:19.1522434019 , 95 , ec:8e:b5:3c:91:9e , f8:da:c:20:91:3f , IPv6 , 0.0.0.0 , 68.74.157.222 , Unknown/Not Supported , 44945 , 3842 
2018-03-30 23:50:19.1522434019 , 75 , ec:8e:b5:3c:91:9e , f8:da:c:20:91:3f , IPv4 , 10.50.23.86 , 224.0.0.252 , UDP , 60718 , 5355 
2018-03-30 23:50:19.1522434019 , 62 , 64:5a:4:9d:49:52 , f8:da:c:20:91:3f , IPv4 , 10.50.21.15 , 10.50.23.255 , UDP , 2008 , 2008 
2018-03-30 23:50:19.1522434019 , 62 , 64:5a:4:9d:49:52 , f8:da:c:20:91:3f , IPv4 , 10.50.21.15 , 10.50.23.255 , UDP , 2007 , 2007 
2018-03-30 23:50:19.1522434019 , 60 , ec:24:b8:29:29:25 , f8:da:c:20:91:3f , ARP , 41.37.10.50 , 23.52.0.0 , Unknown/Not Supported , 0 , 0 
2018-03-30 23:50:19.1522434019 , 305 , ac:d1:b8:ed:88:6b , f8:da:c:20:91:3f , IPv4 , 10.50.23.72 , 10.50.23.255 , UDP , 54915 , 54915 
2018-03-30 23:50:19.1522434019 , 62 , 64:5a:4:9d:49:52 , f8:da:c:20:91:3f , IPv4 , 10.50.21.15 , 10.50.23.255 , UDP , 2008 , 2008 
2018-03-30 23:50:19.1522434019 , 62 , 64:5a:4:9d:49:52 , f8:da:c:20:91:3f , IPv4 , 10.50.21.15 , 10.50.23.255 , UDP , 2007 , 2007 
2018-03-30 23:50:19.1522434019 , 103 , 14:32:d1:2f:31:55 , f8:da:c:20:91:3f , IPv4 , 10.50.21.101 , 224.0.0.251 , UDP , 5353 , 5353 
2018-03-30 23:50:19.1522434019 , 62 , 64:5a:4:9d:49:52 , f8:da:c:20:91:3f , IPv4 , 10.50.21.15 , 10.50.23.255 , UDP , 2008 , 2008 
2018-03-30 23:50:19.1522434019 , 62 , 64:5a:4:9d:49:52 , f8:da:c:20:91:3f , IPv4 , 10.50.21.15 , 10.50.23.255 , UDP , 2007 , 2007 
2018-03-30 23:50:19.1522434019 , 62 , 64:5a:4:9d:49:52 , f8:da:c:20:91:3f , IPv4 , 10.50.21.15 , 10.50.23.255 , UDP , 2008 , 2008 
2018-03-30 23:50:19.1522434019 , 62 , 64:5a:4:9d:49:52 , f8:da:c:20:91:3f , IPv4 , 10.50.21.15 , 10.50.23.255 , UDP , 2007 , 2007 
2018-03-30 23:50:19.1522434019 , 179 , 30:f7:72:e:f4:db , f8:da:c:20:91:3f , IPv4 , 10.50.20.240 , 239.255.255.250 , UDP , 60008 , 1900 
2018-03-30 23:50:19.1522434019 , 62 , 64:5a:4:9d:49:52 , f8:da:c:20:91:3f , IPv4 , 10.50.21.15 , 10.50.23.255 , UDP , 2008 , 2008 
2018-03-30 23:50:19.1522434019 , 62 , 64:5a:4:9d:49:52 , f8:da:c:20:91:3f , IPv4 , 10.50.21.15 , 10.50.23.255 , UDP , 2007 , 2007 
2018-03-30 23:50:19.1522434019 , 92 , 98:40:bb:6:49:37 , f8:da:c:20:91:3f , IPv4 , 10.50.23.135 , 10.50.23.255 , UDP , 137 , 137 
2018-03-30 23:50:19.1522434019 , 62 , 64:5a:4:9d:49:52 , f8:da:c:20:91:3f , IPv4 , 10.50.21.15 , 10.50.23.255 , UDP , 2008 , 2008 
2018-03-30 23:50:19.1522434019 , 62 , 64:5a:4:9d:49:52 , f8:da:c:20:91:3f , IPv4 , 10.50.21.15 , 10.50.23.255 , UDP , 2007 , 2007 
2018-03-30 23:50:19.1522434019 , 92 , 98:40:bb:6:49:37 , f8:da:c:20:91:3f , IPv4 , 10.50.23.135 , 10.50.23.255 , UDP , 137 , 137 
2018-03-30 23:50:19.1522434019 , 92 , 98:40:bb:6:49:37 , f8:da:c:20:91:3f , IPv4 , 10.50.23.135 , 10.50.23.255 , UDP , 137 , 137 
2018-03-30 23:50:19.1522434019 , 92 , 98:40:bb:6:49:37 , f8:da:c:20:91:3f , IPv4 , 10.50.23.135 , 10.50.23.255 , UDP , 137 , 137 
2018-03-30 23:50:19.1522434019 , 179 , 30:e3:7a:c:9d:c9 , f8:da:c:20:91:3f , IPv4 , 10.50.21.186 , 239.255.255.250 , UDP , 61075 , 1900 
2018-03-30 23:50:19.1522434019 , 305 , c8:5b:76:e7:ad:66 , f8:da:c:20:91:3f , IPv4 , 10.50.21.116 , 10.50.23.255 , UDP , 54915 , 54915 
2018-03-30 23:50:19.1522434019 , 62 , 64:5a:4:9d:49:52 , f8:da:c:20:91:3f , IPv4 , 10.50.21.15 , 10.50.23.255 , UDP , 2008 , 2008 
2018-03-30 23:50:19.1522434019 , 62 , 64:5a:4:9d:49:52 , f8:da:c:20:91:3f , IPv4 , 10.50.21.15 , 10.50.23.255 , UDP , 2007 , 2007 
2018-03-30 23:50:19.1522434019 , 62 , 64:5a:4:9d:49:52 , f8:da:c:20:91:3f , IPv4 , 10.50.21.15 , 10.50.23.255 , UDP , 2008 , 2008 
2018-03-30 23:50:19.1522434019 , 62 , 64:5a:4:9d:49:52 , f8:da:c:20:91:3f , IPv4 , 10.50.21.15 , 10.50.23.255 , UDP , 2007 , 2007 
2018-03-30 23:50:19.1522434019 , 115 , 50:eb:1a:90:61:32 , f8:da:c:20:91:3f , IPv4 , 74.125.200.189 , 10.50.20.217 , TCP , 443 , 36614 
2018-03-30 23:50:19.1522434019 , 54 , f8:da:c:20:91:3f , 50:eb:1a:90:61:32 , IPv4 , 10.50.20.217 , 74.125.200.189 , TCP , 36614 , 443 
2018-03-30 23:50:19.1522434019 , 60 , 10:da:43:1:73:27 , f8:da:c:20:91:3f , Unkwown/Not Supported , 67.1.115.38 , 0.0.0.0 , Unknown/Not Supported , 32768 , 4314 
2018-03-30 23:50:20.1522434020 , 103 , e0:98:61:76:f:b0 , f8:da:c:20:91:3f , IPv4 , 10.50.21.99 , 224.0.0.251 , UDP , 5353 , 5353 
2018-03-30 23:50:20.1522434020 , 76 , c8:5b:76:e7:ad:66 , f8:da:c:20:91:3f , IPv4 , 10.50.21.116 , 255.255.255.255 , UDP , 57684 , 7533 
2018-03-30 23:50:20.1522434020 , 62 , 64:5a:4:9d:49:52 , f8:da:c:20:91:3f , IPv4 , 10.50.21.15 , 10.50.23.255 , UDP , 2008 , 2008 
2018-03-30 23:50:20.1522434020 , 62 , 64:5a:4:9d:49:52 , f8:da:c:20:91:3f , IPv4 , 10.50.21.15 , 10.50.23.255 , UDP , 2007 , 2007 
2018-03-30 23:50:20.1522434020 , 103 , a8:96:75:7e:18:14 , f8:da:c:20:91:3f , IPv4 , 10.50.21.94 , 224.0.0.251 , UDP , 5353 , 5353 
2018-03-30 23:50:20.1522434020 , 62 , 64:5a:4:9d:49:52 , f8:da:c:20:91:3f , IPv4 , 10.50.21.15 , 10.50.23.255 , UDP , 2008 , 2008 
2018-03-30 23:50:20.1522434020 , 62 , 64:5a:4:9d:49:52 , f8:da:c:20:91:3f , IPv4 , 10.50.21.15 , 10.50.23.255 , UDP , 2007 , 2007 
2018-03-30 23:50:20.1522434020 , 62 , 64:5a:4:9d:49:52 , f8:da:c:20:91:3f , IPv4 , 10.50.21.15 , 10.50.23.255 , UDP , 2008 , 2008 
2018-03-30 23:50:20.1522434020 , 62 , 64:5a:4:9d:49:52 , f8:da:c:20:91:3f , IPv4 , 10.50.21.15 , 10.50.23.255 , UDP , 2007 , 2007 
2018-03-30 23:50:20.1522434020 , 60 , ec:24:b8:29:29:25 , f8:da:c:20:91:3f , ARP , 41.37.10.50 , 23.52.0.0 , Unknown/Not Supported , 0 , 0 
2018-03-30 23:50:20.1522434020 , 305 , ac:d1:b8:ed:88:6b , f8:da:c:20:91:3f , IPv4 , 10.50.23.72 , 10.50.23.255 , UDP , 54915 , 54915 
2018-03-30 23:50:20.1522434020 , 62 , 64:5a:4:9d:49:52 , f8:da:c:20:91:3f , IPv4 , 10.50.21.15 , 10.50.23.255 , UDP , 2008 , 2008 
2018-03-30 23:50:20.1522434020 , 62 , 64:5a:4:9d:49:52 , f8:da:c:20:91:3f , IPv4 , 10.50.21.15 , 10.50.23.255 , UDP , 2007 , 2007 
2018-03-30 23:50:20.1522434020 , 103 , 14:32:d1:2f:31:55 , f8:da:c:20:91:3f , IPv4 , 10.50.21.101 , 224.0.0.251 , UDP , 5353 , 5353 
